,lat.,long.
821,37.773854,-122.477838
822,37.804917,-122.442132
823,37.802411,-122.44334
824,37.779753,-122.482657
825,37.7864,-122.3892
826,37.77836,-122.48031
827,37.763087,-122.398519
828,37.755889,-122.389058
830,37.7856,-122.4358
832,37.786106,-122.393908
834,37.797287,-122.415291
835,37.761747,-122.475924
836,37.761747,-122.475924
837,37.719,-122.4096
838,37.7195,-122.4411
839,37.736388,-122.428977
840,37.7441,-122.4863
841,37.7593,-122.4836
842,37.792252,-122.407513
843,37.775471,-122.502671
844,37.7593,-122.4836
846,37.756249,-122.419942
847,37.795016,-122.436761
848,37.774305,-122.427174
849,37.773554,-122.503609
850,37.8031,-122.425759
851,37.787035,-122.456039
852,37.749711,-122.406997
853,37.730624,-122.368035
854,37.729838,-122.400274
855,37.71964,-122.471652
856,37.773547,-122.409718
857,37.791017,-122.399149
858,37.78742,-122.393124
859,37.912849,-122.342265
860,37.735307,-122.423422
870,37.801506,-122.423236
871,37.787254,-122.424075
872,37.778346,-122.435079
873,37.772525,-122.427158
874,37.777507,-122.433085
875,37.77089,-122.42514
876,37.77089,-122.42514
877,37.790836,-122.408925
878,37.791205,-122.40806
879,37.752393,-122.425264
881,37.716788,-122.475918
882,37.76289,-122.428509
883,37.761188,-122.43003
884,37.804917,-122.442132
885,37.794991,-122.407168
886,37.771804,-122.426621
887,37.737551,-122.425111
888,37.716788,-122.475918
890,37.7725,-122.4147
891,37.760358,-122.464981
892,37.802559,-122.407521
897,37.792204,-122.415377
898,37.715011,-122.472991
899,37.791456,-122.392342
900,37.782383,-122.460136
902,37.791859,-122.425177
903,37.778992,-122.461166
904,37.782383,-122.460136
905,37.75364,-122.466658
906,37.75364,-122.466658
907,37.794458,-122.426045
908,37.770675,-122.449203
909,37.796797,-122.398211
910,37.719823,-122.462253
911,37.7441,-122.4863
913,37.787321,-122.431108
914,37.742655,-122.486413
915,37.793428,-122.26913
918,37.785248,-122.439873
919,37.761582,-122.438056
920,37.789952,-122.425616
923,37.772434,-122.39726
927,37.781031,-122.42044
928,37.789457,-122.444119
930,37.761691,-122.39188
932,37.762575,-122.44602
933,37.77727,-122.411388
937,37.787295,-122.392719
938,37.787703,-122.391971
939,37.775048,-122.449638
942,37.776036,-122.499486
943,37.794895,-122.429989
944,37.762614,-122.445947
945,37.773906,-122.413938
946,37.784994,-122.464572
947,37.779924,-122.492816
948,37.789529,-122.413728
949,37.772649,-122.415002
950,37.8048,-122.420805
951,37.741585,-122.4472
952,37.786413,-122.403274
953,37.770675,-122.449203
954,37.753642,-122.411993
955,37.792217,-122.429447
956,37.789568,-122.413425
957,37.792217,-122.429447
958,37.8002,-122.4091
960,37.800638,-122.407584
961,37.8002,-122.4091
965,37.771804,-122.426621
966,37.763689,-122.474241
967,37.793444,-122.416201
970,37.717665,-122.440107
971,37.797603,-122.435594
972,37.756988,-122.419689
973,37.717866,-122.440359
982,37.803601,-122.444419
990,37.783641,-122.47854
1008,37.770008,-122.446934
1009,37.77541,-122.46298
1010,37.77541,-122.46298
1011,37.764311,-122.454217
1015,37.772108,-122.430434
1016,37.794243,-122.42817
1018,37.780321,-122.493346
1022,37.749391,-122.427628
1023,37.803969,-122.435031
1028,37.789046,-122.417541
1029,37.789046,-122.417541
1030,37.739869,-122.424147
1031,37.787335,-122.463662
1035,37.749374,-122.427649
1037,37.723347,-122.399652
1038,37.769362,-122.450901
1039,37.78518,-122.435781
1040,37.77253,-122.39312
1043,37.77526,-122.424388
1046,37.789422,-122.437319
1047,37.757903,-122.466958
1053,37.769428,-122.403979
1056,37.772434,-122.39726
1057,37.780917,-122.399457
1058,37.772434,-122.39726
1060,37.780917,-122.399457
1062,37.772434,-122.39726
1064,37.772434,-122.39726
1067,37.772434,-122.39726
1069,37.787295,-122.392719
1076,37.787295,-122.392719
1077,37.752242,-122.444618
1079,37.769428,-122.403979
1083,37.75954,-122.462864
1085,37.787836,-122.393396
1086,37.7694,-122.3867
1087,37.7694,-122.3867
1088,37.75029,-122.434216
1089,37.766726,-122.438291
1093,37.7195,-122.4411
1094,37.786649,-122.413799
1095,37.7694,-122.3867
1098,37.7864,-122.3892
1099,37.745296,-122.440088
1102,37.77351,-122.409599
1104,37.796014,-122.430385
1105,37.7917,-122.4186
1106,37.786649,-122.413799
1107,37.781111,-122.462139
1109,37.788845,-122.419161
1113,37.786649,-122.413799
1114,37.78983,-122.418843
1115,37.769239,-122.420247
1116,37.772721,-122.391183
1117,37.748362,-122.429346
1119,37.790459,-122.429092
1120,37.786649,-122.413799
1122,37.721206,-122.483023
1124,37.723347,-122.399652
1128,37.785209,-122.417505
1129,37.753939,-122.440914
1130,37.787424,-122.421154
1132,37.77208,-122.445717
1135,37.787424,-122.421154
1137,37.757754,-122.393133
1139,37.793428,-122.26913
1141,37.780917,-122.399457
1142,37.780917,-122.399457
1144,37.7621,-122.3971
1145,37.763529,-122.474016
1146,37.7621,-122.3971
1148,37.792507,-122.408767
1149,37.75124,-122.425032
1150,37.776541,-122.417501
1151,37.754571,-122.401589
1154,37.744352,-122.488678
1157,37.783785,-122.39893
1160,37.786649,-122.413799
1161,37.791927,-122.414209
1163,37.796272,-122.426893
1166,37.791456,-122.392342
1167,37.771887,-122.423334
1168,37.773644,-122.434128
1171,37.771887,-122.423334
1172,37.7813,-122.4167
1174,37.724625,-122.395926
1176,37.773083,-122.391187
1177,37.758343,-122.438207
1184,37.776619,-122.417402
1185,37.716788,-122.475918
1187,37.805786,-122.44221
1190,37.771804,-122.426621
1194,37.744352,-122.453012
1195,37.784764,-122.390431
1196,37.7621,-122.3971
1197,37.7725,-122.4147
1198,37.7621,-122.3971
1199,37.7621,-122.3971
1201,37.796933,-122.429774
1202,37.718571,-122.484778
1204,37.794966,-122.429216
1205,37.794576,-122.425869
1206,37.762166,-122.4646
1209,37.776541,-122.417501
1210,37.805291,-122.435632
1211,37.782457,-122.475236
1213,37.791727,-122.447112
1214,37.773083,-122.391187
1216,37.761324,-122.38864
1217,37.761809,-122.391944
1218,37.7712,-122.4413
1219,37.774277,-122.43594
1220,37.803569,-122.435416
1222,37.749892,-122.479312
1223,37.718119,-122.474484
1224,37.7621,-122.3971
1225,37.749923,-122.479312
1226,37.795435,-122.433469
1228,37.761617,-122.422955
1231,37.75983,-122.42592
1232,37.7309,-122.3886
1233,37.80422,-122.439526
1234,37.784612,-122.390174
1236,37.787137,-122.396691
1239,37.723837,-122.455916
1240,37.723837,-122.455916
1243,37.772721,-122.391183
1244,37.755423,-122.432254
1245,37.752104,-122.420665
1246,37.780365,-122.505198
1247,37.763496,-122.418484
1250,37.793223,-122.41447
1255,37.793223,-122.41447
1260,37.765965,-122.432306
1261,37.752045,-122.483844
1262,37.785589,-122.424967
1263,37.785616,-122.424743
1265,37.748362,-122.429346
1266,37.761536,-122.451002
1267,37.802069,-122.414569
1272,37.802069,-122.414569
1273,37.771396,-122.509895
1275,37.785639,-122.444313
1276,37.800138,-122.403962
1277,37.745,-122.4383
1278,37.721624,-122.472322
1279,37.785635,-122.444347
1280,37.761092,-122.468252
1283,37.790087,-122.409357
1284,37.791923,-122.417582
1285,37.773089,-122.396768
1286,37.796211,-122.405143
1290,37.776541,-122.417501
1291,37.777507,-122.433085
1292,37.773089,-122.396768
1294,37.728617,-122.426423
1295,37.777507,-122.433085
1298,37.785199,-122.419152
1301,37.77521,-122.424327
1302,37.7725,-122.4147
1303,37.771804,-122.426621
1304,37.785635,-122.444347
1305,37.78317,-122.422562
1306,37.769428,-122.403979
1307,37.787996,-122.393597
1308,37.752377,-122.446661
1309,37.803936,-122.426756
1313,37.712294,-122.446629
1315,37.776541,-122.417501
1317,37.772065,-122.404452
1318,37.724927,-122.395949
1323,37.772065,-122.404452
1324,37.785635,-122.444347
1326,37.78723,-122.391465
1327,37.772065,-122.404452
1328,37.779688,-122.493297
1333,37.789511,-122.41541
1334,37.760693,-122.467266
1342,37.785368,-122.422392
1343,37.784139,-122.418485
1346,37.790836,-122.408925
1348,37.789271,-122.417716
1349,37.766943,-122.428896
1356,37.782042,-122.468653
1357,37.789046,-122.417541
1358,37.762198,-122.465659
1361,37.786424,-122.419846
1362,37.789046,-122.417541
1367,37.789016,-122.410242
1370,37.782258,-122.449368
1373,37.782872,-122.413441
1377,37.785034,-122.417115
1380,37.785896,-122.444299
1383,37.798762,-122.422337
1388,37.792089,-122.423366
1389,37.776333,-122.394035
1390,37.782477,-122.424108
1391,37.789046,-122.417541
1392,37.80384,-122.435035
1396,37.786424,-122.419846
1399,37.77164,-122.504544
1401,37.78591,-122.419604
1403,37.75379,-122.41661
